STA,X,Y,Z,lat_dms,lng_dms,h,MSL_TGM17
NKBI,-1004107.39184,6237146.35914,874718.70204,07°56′07.9511″,99°08′43.723″,-9.078,12.235
NKNY,-1201408.97595,6066337.43657,1555734.16648,14°12′43.4451″,101°12′07.9119″,-13.928,14.706
NKRM,-1294882.72802,6024986.51702,1639293.21098,14°59′31.492″,102°07′45.9549″,152.468,180.303
NKSW,-1078589.93921,6046539.28169,1713801.03605,15°41′26.2826″,100°06′50.825″,21.209,54.829
NROA,-1317071.02182,5974071.10092,1799116.53604,16°29′33.5185″,102°25′58.0986″,172.796,202.503
NRTW,-1298692.50521,6203821.31529,709432.94763,06°25′44.7747″,101°49′24.3106″,4.437,13.203
NSHO,-1360065.45571,5988322.06015,1718374.67147,15°43′59.712″,102°47′45.3281″,145.736,174.432
OKKR,-1178265.21696,6073650.58736,1544929.83055,14°06′40.8894″,100°58′43.6535″,-15.452,13.84
OKRK,-1178265.22851,6073650.62669,1544929.82688,14°06′40.889″,100°58′43.6536″,-15.413,13.879
PBHN,-1616951.31517,5939039.49693,1666309.65806,15°14′42.3519″,105°13′48.3329″,109.002,128.678
PCCO,-1248697.12673,6077550.80213,1473351.7761,13°26′42.2983″,101°36′37.6166″,49.535,75.854
PCPM,-1253922.8824,6000701.41183,1755580.34093,16°04′57.4926″,101°48′10.2444″,230.593,260.501
PCRI,-996241.57328,5925989.5312,2132025.28127,19°39′21.9593″,99°32′34.7492″,421.893,459.601
PDCP,-1215054.36716,6014245.70605,1736656.81872,15°54′16.9244″,101°25′18.0906″,249.222,279.34
PJRK,-1062387.64104,6152905.14083,1297009.21805,11°48′41.8226″,99°47′46.8612″,-11.922,16.725
PKET,-922365.13562,6250473.35106,869690.36223,07°53′22.658″,98°23′39.8321″,0.14,24.739
PKKT,-1132704.5879,6087759.81455,1523587.23914,13°54′44.9102″,100°32′24.2743″,13.343,44.003
PKNK,-1118572.28516,6211237.09084,918761.08398,08°20′16.1604″,100°12′31.9839″,-11.801,6.946
PLDG,-1209062.8884,6097744.55818,1422375.3093,12°58′18.5367″,101°12′54.5823″,37.365,64.772
PNNK,-1203243.43526,6086106.92252,1475570.35419,13°27′57.009″,101°11′00.0487″,-12.347,15.382
PNPS,-1373244.16788,5909347.23708,1962218.31511,18°02′09.6343″,103°04′56.9503″,141.258,171.981
PNST,-1030041.79497,6225236.03018,927766.86316,08°25′12.2305″,99°23′42.6059″,36.883,58.527
PNTG,-1479558.15571,5941540.02966,1780479.18829,16°19′01.7899″,103°59′00.0482″,143.398,169.082
PONG,-1075183.27048,5930943.38795,2079127.6399,19°08′59.9652″,100°16′30.7172″,265.023,300.894
PPRM,-1080405.84258,6003678.75286,1856402.63937,17°02′01.2171″,100°12′05.775″,20.406,55.546
PTBR,-1072925.11063,6119632.11211,1437164.09518,13°06′32.915″,99°56′39.5442″,-16.103,14.737
PTLG,-1105618.72908,6224823.3073,839659.53966,07°36′56.108″,100°04′17.5003″,-2.66,14.768
PYAO,-1034057.88533,5936806.20799,2083569.74026,19°11′31.6204″,99°52′49.8432″,378.713,415.521
RAND,-1132675.5083,6217668.0257,856322.44195,07°46′03.4406″,100°19′27.7823″,-4.075,12.76
RATP,-1126888.81854,6227967.63903,786903.88553,07°08′04.3984″,100°15′22.0899″,17.141,32.642
RAYG,-1216734.65927,6103746.81648,1389703.61481,12°40′08.555″,101°16′25.2889″,-13.418,13.138
SADO,-1148836.08963,6229446.57291,742561.62385,06°43′50.2873″,100°26′56.7484″,24.401,38.242
SAKW,-1298270.80792,6057510.42084,1512153.90065,13°48′21.6324″,102°05′48.7064″,25.709,50.955
SAMG,-916785.94855,5968686.56114,2047599.05575,18°50′53.2565″,98°43′56.4379″,470.369,508.642
SATN,-1107406.46366,6238298.9187,730921.72847,06°37′28.8992″,100°03′58.0845″,-4.859,10.276
SBKK,-1139278.64326,6089742.3135,1510744.29723,13°47′34.5982″,100°35′47.3794″,1.246,31.575
SBRI,-1275756.52418,6205019.40748,739691.31327,06°42′16.2925″,101°37′05.3526″,1.542,11.906
SCHP,-1289380.07887,5970108.0775,1831833.24684,16°48′04.2733″,102°11′13.6901″,179.313,209.82
SDAN,-1154290.8156,6017173.1132,1766859.26793,16°11′20.9208″,100°51′33.4172″,75.155,106.926
SDAO,-1314806.35768,6071793.0585,1440225.31028,13°08′13.3017″,102°13′06.1439″,233.836,257.407
SGNN,-1252681.69246,6036861.35639,1628666.93941,14°53′33.152″,101°43′22.1551″,212.218,240.488
SICN,-1083287.80241,6206159.06807,991943.76711,09°00′25.8055″,99°54′04.5041″,-9.796,12.068
SISA,-1031456.01031,5996166.42075,1907542.79359,17°31′03.1065″,99°45′37.6277″,41.089,77.68
SISK,-1519763.89378,5968501.70294,1652534.87057,15°06′58.0301″,104°17′08.4616″,104.981,127.985
SKBR,-905237.40508,6090994.99827,1656706.5535,15°09′18.0245″,98°27′12.1103″,173.8,210.943
SKNK,-1488626.67444,5911749.01811,1869297.99769,17°09′18.7259″,104°08′01.3488″,155.084,181.401
SKOM,-1289316.19853,5927263.30528,1965132.90896,18°03′49.234″,102°16′19.1264″,151.133,182.327
SKPM,-1469423.13557,5986139.99199,1634345.13211,14°56′45.1353″,103°47′30.3013″,119.955,143.812
SKTH,-1041316.49182,6011521.16946,1853388.57958,17°00′18.6547″,99°49′38.1614″,23.115,59.32
SMNM,-974577.80997,5987074.69531,1965312.31804,18°03′54.7162″,99°14′43.9163″,212.938,250.754
SNCK,-1229477.61927,6075764.87137,1496301.01319,13°39′30.8807″,101°26′23.1444″,-7.188,19.991
SOKA,-1163641.95487,6220193.93917,794819.09722,07°12′24.08″,100°35′46.0406″,18.707,33.468
SPBR,-1086264.46187,6079455.0886,1588618.41391,14°31′07.9388″,100°07′50.1065″,-13.32,19.259
SPDI,-1305397.87845,6206671.04628,671589.75555,06°05′05.408″,101°52′38.7621″,21.168,28.539
SPUG,-1017286.87759,6117912.65622,1484364.80101,13°32′50.4299″,99°26′26.7667″,100.678,133.652
SRTN,-1021155.57319,6214494.45889,1005605.01253,09°07′55.9959″,99°19′52.9005″,9.813,33.449
STHP,-1177361.22528,6111613.62609,1389031.07212,12°39′46.1517″,100°54′14.6422″,-17.28,10.394
SURN,-1438061.22865,5995700.05277,1627265.50955,14°52′46.6924″,103°29′15.1424″,129.068,153.598
TAPY,-1371960.28549,6035820.40896,1533662.41979,14°00′22.35″,102°48′21.3017″,58.31,81.966
TCP1,-998580.61882,6185787.51752,1187602.11822,10°48′10.3938″,99°10′12.8193″,31.592,60.035
TCP2,-988846.32604,6202198.64983,1107854.05242,10°04′11.3551″,99°03′31.3168″,5.159,32.23
TCTI,-1275980.9736,6090015.76042,1396879.9973,12°44′07.7236″,101°50′00.3986″,16.628,41.121
TEPA,-1204574.62585,6217562.7227,753451.18084,06°49′47.3721″,100°57′52.2092″,-2.409,10.231
TGSG,-1060808.55508,6224765.00561,895963.66005,08°07′46.107″,99°40′16.6432″,42.611,62.57
THKP,-914616.17011,6235615.32104,977034.83019,08°52′14.583″,98°20′39.9285″,-14.098,12.772
THPP,-925142.08876,6099791.19395,1612846.72674,14°44′41.5366″,98°37′27.118″,118.719,155.111
THSY,-871885.68202,6031205.69877,1876842.33452,17°13′36.162″,98°13′32.9894″,99.725,138.844
TKK1,-1364654.0159,5952327.72634,1835839.95644,16°50′18.4354″,102°54′45.7307″,382.194,410.952
TKK2,-1343631.39383,5987078.45817,1735623.24905,15°53′42.4481″,102°38′55.8663″,196.889,226.018
TKPP,-1594093.56053,5934256.25788,1704736.99627,15°36′19.0915″,105°02′10.1644″,126.501,147.969
TKRI,-1013658.09672,6103489.76282,1544279.84351,14°06′18.7439″,99°25′46.2986″,25.944,59.733
TNPM,-1532978.18446,5894327.61522,1888232.6827,17°20′03.6499″,104°34′42.0266″,152.065,178.096
TNPT,-1068059.89181,6094630.94169,1542424.27777,14°05′16.8633″,99°56′23.7216″,-19.354,13.281
TNSN,-1108936.33549,6035226.52491,1733982.21304,15°52′48.7458″,100°24′41.8229″,1.986,35.068
TNST,-1090749.77071,6213696.80559,935325.96196,08°29′21.2145″,99°57′22.4645″,-10.812,9.233
TPHN,-1108846.32147,6024716.91634,1769997.64211,16°13′07.8563″,100°25′42.7924″,10.052,43.477
TPK1,-1069622.71531,6137421.51966,1362359.48523,12°24′56.908″,99°53′10.1367″,-5.008,24.639
TPK2,-1019361.90504,6178593.43847,1207649.45771,10°59′14.1632″,99°22′06.341″,135.617,163.8
TPKT,-914875.25359,6247977.49492,896544.38266,08°08′04.3801″,98°19′49.6999″,219.238,244.631
TPNM,-1549746.81366,5903314.77811,1846192.01643,16°56′12.8795″,104°42′34.035″,125.783,150.322
TPRI,-1256831.6058,6062465.46643,1527009.09749,13°56′39.762″,101°42′44.2155″,-3.662,23.104
TSKA,-1143697.00442,6227724.31334,764312.71959,06°55′43.4757″,100°24′22.2906″,5.671,20.345
TSKW,-1340690.9096,6051254.12971,1500217.88132,13°41′41.796″,102°29′32.7134″,25.005,48.928
TSRI,-1194168.76702,6055887.83823,1602984.56472,14°39′06.7768″,101°09′18.4155″,475.099,504.182
TSSK,-1549340.54469,5961235.34402,1651359.39935,15°06′18.2943″,104°34′08.3591″,118.953,140.809
TUBN,-1581409.49149,5950175.90274,1660747.16976,15°11′34.7367″,104°53′01.4029″,116.535,137.434
TUTT,-1068725.89197,5984703.28487,1922897.11206,17°39′46.9203″,100°07′29.7824″,52.481,88.162
UDON,-1346748.81439,5936987.34969,1896511.35848,17°24′45.8261″,102°46′50.5634″,150.093,180.149
UTHI,-1069154.13557,6058114.36553,1678632.59024,15°21′38.9726″,100°00′31.208″,0.519,34.095
UTOG,-1061726.533,6087755.9159,1573446.43616,14°22′38.1706″,99°53′35.1103″,-13.903,19.211
UTTD,-1065933.00996,5986322.62785,1919422.2986,17°37′48.3286″,100°05′46.8597″,51.072,86.795
VCBR,-1183380.73063,6027944.46134,1710264.17848,15°39′26.5449″,101°06′24.5485″,46.194,77.312
WGCN,-1012833.80149,5986317.49863,1947860.2513,17°53′59.4077″,99°36′10.8526″,72.741,109.801
WHAG,-902983.54118,5944738.37162,2122260.38224,19°33′41.5919″,98°38′13.1747″,705.681,744.43
WNKH,-1268879.71943,6047266.36117,1577808.32098,14°25′01.2286″,101°51′01.0257″,400.611,426.771
WNNW,-1445454.80606,5906211.33898,1919621.40398,17°37′54.1764″,103°45′07.0541″,142.74,171.359
WSPG,-1242445.03662,5963540.49677,1884709.2,17°18′02.8184″,101°46′07.1915″,228.965,260.117
